compress1,compress2,patience,earlystop,isRelu,final_r2_p3,final_mse_p1,final_mse_p2,final_mse_p3,time
2,4,"[50, 50, 100]",True,True,0.9873804913368076,0.001320940034929663,0.00039947949699126184,0.0010478734038770199,482.17
2,4,"[10, 10, 50]",True,True,0.9867081723641604,0.0013730984646826982,0.00048645358765497804,0.0011061278928536922,185.17
2,4,"[0, 0, 0]",False,True,0.9826045583467931,0.001320940034929663,0.0004189087776467204,0.0014413837634492666,933.09
4,8,"[50, 50, 100]",True,True,0.9874216397292912,0.001342802366707474,0.0003900568699464202,0.0010451928246766329,387.86
4,8,"[10, 10, 50]",True,True,0.9870378151535988,0.001364715542877093,0.0006645871326327324,0.0010783981706481427,171.8
4,8,"[0, 0, 0]",False,True,0.9855520757846534,0.0013405602658167481,0.000420921016484499,0.0012021790025755763,662.87
6,12,"[50, 50, 100]",True,True,0.9873419473879039,0.001348662714008242,0.00039988572825677693,0.0010532739834161475,372.7
6,12,"[10, 10, 50]",True,True,0.9853041414171457,0.00140157833811827,0.000765985285397619,0.0012242755328770727,152.52
6,12,"[0, 0, 0]",False,True,0.9869549362920225,0.0013465466909110546,0.00039775678305886686,0.0010819001181516796,554.05
2,4,"[50, 50, 100]",True,False,0.9875622515100986,0.001310682826442644,0.0003561223275028169,0.0010341365850763395,519.7
2,4,"[10, 10, 50]",True,False,0.9873409380670637,0.0014713246782775968,0.0004683777515310794,0.0010538953065406531,144.12
